dt,id,name,lat,lon,t,rt,dp,vsby,wdir,wspd,gdir,gspd
2022-11-13 20:00:07,57,MI-02 Elmira,45.075,-84.8982,27,NA,20,10,10,2,20,5
2022-11-13 20:00:06,58,Lachine,45.0675,-83.7169,30,NA,25,7,290,9,296,12
2022-11-13 20:00:05,59,Houghton Lake,44.33489,-84.80651,27,NA,20,10,NA,NA,NA,NA
2022-11-13 19:00:07,61,Ludington,43.95574,-86.33909,31,NA,28,7,135,1,145,3
2022-11-13 19:00:02,62,Twin Lakes,46.88494,-88.8637,20,NA,19,NA,318,0,302,1
2022-11-13 18:59:58,63,T16 Kiva,46.2721,-87.1174,25,NA,22,1/2,11,1,9,5
2022-11-13 20:00:01,64,ESS Site 10 Ontonagon,46.86689,-89.31436,28,32,24,10,166,1,158,5
2022-11-13 19:00:03,65,MI-01 Harvey,46.48812,-87.23149,28,32,27,1 1/4,295,4,324,15
2022-11-13 19:00:02,66,MI-02 Curran,44.7265,-83.8083,28,NA,13,10,270,3,252,8
2022-11-13 20:00:10,67,St. Ignace,45.89735,-84.74475,28,35,NA,NA,NA,NA,NA,NA
2022-11-13 18:59:58,68,T17 Sundell,46.34745833,-87.11594722,24,NA,23,1/2,280,1,263,6
2022-11-13 19:00:26,69,WELLSTON ESS SIte #7,44.2227,-85.8053,28,NA,26,12,270,0,296,1
2022-11-13 20:00:03,70,MI-01 Engadine,46.10089,-85.6178,26,32,17,2 3/4,327,3,335,6
2022-11-13 20:00:00,71,Michigamme,46.53887,-88.12978,22,NA,17,12,260,1,246,3
2022-11-13 20:00:01,72,Trout Creek T3,46.47888,-88.99046,24,NA,22,10,0,0,197,2
2022-11-13 18:59:58,76,St12 Cedar River,45.55023131,-87.26991195,27,NA,20,10,331,0,323,1
2022-11-13 20:00:04,79,Cooks,45.9096,-86.48062,28,33,26,NA,241,1,242,4
2022-11-13 19:59:56,81,T5 Calumet,47.21913,-88.458,23,28,20,9,0,0,287,NA
2022-11-13 20:00:11,82,Wakefield,46.4773,-89.9519,23,NA,21,10,184,0,111,1
2022-11-13 19:00:03,83,Gwinn,46.27616,-87.41586,18,27,18,NA,0,0,125,0
2022-11-13 19:00:01,84,Rudyard,46.18625,-84.56087,26,30,NA,6,241,2,247,4
2022-11-13 19:59:59,85,Hermansville,45.75189,-87.6825,27,29,17,10,272,0,276,2
2022-11-13 19:00:00,86,T9 Republic,46.25009,-88.01069,19,NA,15,10,NA,0,5,1
2022-11-13 19:00:05,87,Presque Isle # 32,45.331,-83.5754,29,NA,22,12,285,3,305,6
2022-11-13 18:59:53,88,Silver City,46.83028,-89.56828,31,NA,23,7,204,1,179,6
2022-11-13 18:59:58,89,T22 Blaney Park,46.1006,-85.9267,26,NA,20,10,0,0,352,2
2022-11-13 18:59:59,90,I94MM0844B Galesburg,42.271174,-85.441124,33,NA,28,10,271,2,254,5
2022-11-13 18:59:50,91,Gaylord West AWS#1,45.061387,-84.782222,NA,31,NA,NA,NA,NA,NA,NA
2022-11-13 19:59:51,94,Kalamazoo,42.23807,-85.677811,32,NA,30,12,NA,NA,NA,NA
2022-11-13 20:00:03,95,Fife Lake,44.5123,-85.4022,27,NA,26,10,240,2,236,4
2022-11-13 19:00:07,96,MANISTEE Site # 8,44.2198,-86.3088,30,NA,30,1/2,350,2,350,3
2022-11-13 19:00:15,97,MI-03 US-31 at 31BR,43.25075,-86.20448,33,40,23,12,NA,NA,NA,NA
2022-11-13 18:58:41,98,MI-03 Coopersville,43.05335,-85.90804,33,41,26,12,15,1,9,4
2022-11-13 19:00:08,99,MI-03 US-31 at I-96,43.17153,-86.20579,33,40,22,12,277,1,251,3
2022-11-13 18:59:53,103,I-75 @ Square Lake Road,42.614312,-83.233604,33,30,20,NA,353,4,348,8
2022-11-13 20:00:03,110,Escanaba River Bridge,45.794878,-87.07607,30,30,22,12,5,2,14,8
2022-11-13 18:59:54,121,MDOT site,44.7556,-85.51966,31,35,29,2 1/4,349,11,342,16
2022-11-13 19:00:18,124,ESS 1 MM-22 AT NORTH EAGLE HWY,45.05765,-85.69938,31,83,25,12,324,3,345,8
2022-11-13 19:00:04,125,ESS 2 - M-32 AT COUNTY RD 491,44.96178,-84.28186,28,36,17,12,NA,NA,NA,NA
2022-11-13 19:59:59,126,ESS 3  I-75 NORTH OF EXIT 215,44.28402,-84.32824,NA,33,NA,NA,NA,NA,NA,NA
2022-11-13 18:59:59,127,BDWS BRIDGE 1 - E 50 RD - US 131 M-MM 174.2,44.17932,-85.42504,NA,26,NA,NA,NA,NA,NA,NA
2022-11-13 19:00:01,128,B-2  M115 at N River Road,43.979868,-85.083738,29,31,20,12,242,NA,217,3
2022-11-13 19:00:01,132,B-3  M-20 at Costabella Ave,43.595634,-85.085774,29,33,22,12,334,4,329,7
2022-11-13 20:00:03,133,B-8  US-10 at M-47,43.59716,-84.139437,32,33,15,12,348,3,358,8
2022-11-13 20:00:00,134,B-15,43.177376,-83.769255,33,37,20,12,304,4,282,8
2022-11-13 19:58:16,135,B-17,42.80168,-83.730006,34,37,19,12,290,3,297,6
2022-11-13 18:59:57,136,B-19,43.009118,-83.679774,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 18:59:56,137,B-21  I-69 at M-24,43.024745,-83.322205,NA,29,NA,NA,NA,NA,NA,NA
2022-11-13 19:00:02,138,B-22 WB I-69 Rest Area W of Capac,42.992582,-82.959523,31,33,19,12,149,3,155,5
2022-11-13 20:00:04,139, B-27 I-75 at Zilwaukee Bridge,43.48901,-83.925009,32,30,19,12,49,6,42,10
2022-11-13 19:00:03,140,B-99 I-675 at Henry Marsh Bridge,43.440276,-83.948587,32,31,18,12,237,3,221,1
2022-11-13 19:59:56,141,M-1,42.774375,-83.526573,33,37,18,12,287,1,297,3
2022-11-13 20:00:02,142,M-2,42.868855,-83.295864,31,36,18,12,343,2,320,5
2022-11-13 19:59:54,143,M-5,42.477155,-83.113198,36,39,20,NA,NA,NA,NA,NA
2022-11-13 18:59:54,144,M-1,42.707172,-82.774397,33,38,20,12,275,2,257,1
2022-11-13 18:58:03,145,M-1,42.367718,-83.545674,34,36,20,12,290,4,300,10
2022-11-13 19:00:06,146,M-9,42.341591,-83.4415,35,39,20,12,290,3,286,8
2022-11-13 19:59:57,147,M-9,42.275913,-83.160324,36,39,18,12,309,3,331,7
2022-11-13 19:59:53,149,M-11,42.21912,-83.54002,36,39,22,NA,NA,NA,NA,NA
2022-11-13 19:59:52,150,M-13,42.640709,-83.239648,35,38,19,NA,NA,NA,NA,NA
2022-11-13 18:59:50,151,M-14,42.453832,-83.430961,35,37,20,NA,NA,NA,NA,NA
2022-11-13 18:59:54,152,M-18,42.555847,-82.859558,35,39,18,12,343,1,293,4
2022-11-13 18:59:57,153,M-19,42.496231,-82.918015,35,NA,18,12,316,4,295,11
2022-11-13 18:59:50,154,M-22,42.187557,-83.243858,36,NA,20,NA,NA,NA,NA,NA
2022-11-13 18:58:26,155,M-24,42.383812,-83.478035,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 20:00:01,156,I75N @ Crooks,42.605172,-83.170011,34,38,19,12,332,2,354,7
2022-11-13 20:00:04,157,I75S-MM060.1,42.4604209,-83.1060032,36,42,20,12,313,2,2,8
2022-11-13 20:59:54,1,I75MM2638-ESS,44.785642,-84.715639,NA,NA,NA,10,NA,NA,NA,NA
2022-11-13 20:59:56,2,I75SMM2834-RPU,45.0549111,-84.6885,NA,31,NA,10,NA,NA,NA,NA
2022-11-13 20:59:56,4,Kalaska East M-72 at Sunset Trail,44.713161,-84.979797,26,NA,24,NA,NA,NA,NA,NA
2022-11-13 19:59:52,5,Interlochen ESS#5,44.658686,-85.815533,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 19:59:55,7,AWS #2 I-75 at Trowbridge,45.229483,-84.587187,29,25,18,NA,NA,NA,NA,NA
2022-11-13 19:59:52,9,Negaune,46.5346,-87.5278,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 19:59:53,10,US12MM6149 Edwardsburg,41.788123,-86.127571,NA,NA,25,10,298,3,311,6
2022-11-13 20:57:41,11,Escanaba River Bridge,45.794878,-87.07607,29,30,22,12,350,2,323,7
2022-11-13 21:00:01,12,ESS#4 Sherman,44.445858,-85.698384,27,NA,24,10,NA,NA,NA,NA
2022-11-13 21:00:02,13,M79MM0495 Hastings,42.610004,-85.263515,33,NA,26,10,328,3,344,6
2022-11-13 21:00:05,14,I94MM1083B Marshall,42.297782,-84.999126,33,NA,26,10,358,3,342,6
2022-11-13 20:59:58,15,Covington Site 6,46.41708,-88.4935,20,NA,18,10,50,0,50,NA
2022-11-13 19:59:57,16,Manistique T21,45.96703814,-86.20269854,26,29,25,NA,329,1,323,2
2022-11-13 19:59:55,17,I69MM0088 Coldwater,41.877648,-84.990414,32,NA,28,NA,294,2,287,6
2022-11-13 19:59:59,18,South Haven - i196mm0200,42.404641,-86.25104,35,NA,22,10,267,3,277,9
2022-11-13 20:58:24,19,US31MM0470 Holland,42.751002,-86.118785,33,NA,25,10,34,2,26,4
2022-11-13 20:59:56,20,US131MM1412 Constantine,41.816024,-85.662682,34,NA,29,10,316,3,312,5
2022-11-13 21:00:04,22,US131MM0610 Wayland,42.62936,-85.662635,33,NA,30,10,232,1,229,3
2022-11-13 20:00:02,24,T15 Trenary ESS,46.15847333,-86.97997464,25,NA,23,10,298,4,300,6
2022-11-13 20:59:29,25,Dafter T26,46.37466667,-84.4344333,26,NA,17,10,56,3,21,6
2022-11-13 20:00:03,27,Golden Lake,46.16046,-88.87984,22,29,17,6,0,0,121,NA
2022-11-13 19:59:59,28, ESS #7 Kwalloon Lake US131MM0122,45.28292,-84.939561,30,33,17,10,NA,NA,NA,NA
2022-11-13 21:00:03,29,I94MM0006B New Buffalo,41.767521,-86.739658,34,NA,22,10,141,1,142,3
2022-11-13 19:59:56,30,Arnheim T6,46.9534,-88.453,25,NA,22,10,275,1,308,3
2022-11-13 19:59:57,32,ESS 2 Cadillac South,44.166987,-85.438533,23,NA,20,6,0,0,172,1
2022-11-13 19:59:59,33,ESS 2 Merriweather,46.54878,-89.62556,20,NA,18,10,291,NA,317,3
2022-11-13 20:59:58,34,M134MM0169 Cedarville,45.9995,-84.36333,28,35,24,NA,322,1,309,5
2022-11-13 21:00:07,36,Reed City,43.88729,-85.52686,28,NA,27,6,220,1,232,3
